date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-03-08T05:05:03.417889Z,823ee888-e114-4ca9-9781-7086b5430a54,CAPTAIN,Liciela,2026-03-08T02:45:35.058000Z,0.097,1436.33,288,10,3,381,4692,1912
2026-03-08T05:05:03.417889Z,cff26bb4-bad0-4de2-8559-19d23e2d9d41,CAPTAIN,Ecmz,2026-02-28T04:36:02.130000Z,8.02,372.25,45,1,1,45,983,965
2026-03-08T05:05:03.417889Z,d0344f4e-a5fb-48ee-9359-1c82fb2320aa,CAPTAIN,gauvinsteven,2026-03-06T15:02:26.220000Z,1.585,338.58,1,0,0,1,1773,881
2026-03-08T05:05:03.417889Z,9c413f4a-9e5f-46e9-8b89-abdd46f3f74b,CAPTAIN,MelinoeNemesis,2026-02-21T15:31:06.350000Z,14.565,70.42,0,13,0,18,1387,460
2026-03-08T05:05:03.417889Z,4fb7c4a3-a84e-431c-9d93-649f6391f7eb,RECRUITER,SolaR8735,2026-03-08T02:20:48.673000Z,0.114,267.67,0,43,2,138,268,673
2026-03-08T05:05:03.417889Z,c1d04519-cf18-4a40-9061-a0d72ec3fda2,RECRUITER,CodeCrevette,2026-03-08T01:03:27.359000Z,0.168,439.25,0,41,5,136,1502,1189
2026-03-08T05:05:03.417889Z,c837e8b4-4e0a-41c4-b397-7b02f8f35f2a,RECRUITER,jayandjef,2026-03-08T05:03:22.917000Z,0.001,411.25,5,36,2,123,1147,1189
2026-03-08T05:05:03.417889Z,04be2792-d567-4c0a-aa1d-67242dbcf0a8,RECRUITER,roll_54,2026-02-27T00:24:10.536000Z,9.195,77.42,8,2,1,12,420,452
2026-03-08T05:05:03.417889Z,3823b995-b8fa-49f5-8c68-6d1a66bdf215,RECRUITER,JinnMD,2026-03-05T10:37:05.661000Z,2.769,1111.25,4,3,3,6,2141,1117
2026-03-08T05:05:03.417889Z,423997a0-9626-479c-97e5-d3517b93083c,RECRUITER,AmasoXd,2026-02-13T14:30:13.352000Z,22.608,100.5,0,0,0,16,1376,474
2026-03-08T05:05:03.417889Z,1af5a66a-9337-4e66-a69b-35d825f4a62b,RECRUITER,evbubba,2026-02-23T19:12:06.300000Z,12.412,364.58,0,0,4,38,1841,1510
2026-03-08T05:05:03.417889Z,8c0c0855-a6e0-49aa-9b4d-ceb0e040d9cb,RECRUITER,FlamePootis,2026-03-08T05:03:45.389000Z,0.001,112.42,0,15,3,57,268,638
2026-03-08T05:05:03.417889Z,4f7fad4a-c959-468f-8708-dd68f28e945b,RECRUITER,Arctifire,2026-03-06T22:59:00.259000Z,1.254,153.75,0,14,3,40,568,666
2026-03-08T05:05:03.417889Z,0254668f-5453-408d-aa18-d44d8619c215,RECRUITER,Thund3rMC,2026-03-08T00:55:22.046000Z,0.173,428.83,1,0,5,7,1094,1405
2026-03-08T05:05:03.417889Z,502073b4-06bc-4f30-8a4f-115e6c9e35af,RECRUITER,Endyre,2026-03-08T03:43:59.132000Z,0.056,1546.0,50,19,5,145,9729,6221
2026-03-08T05:05:03.417889Z,0cea76a6-b7a3-4537-8b64-f98ab836a1e2,RECRUITER,JJCourts,2026-03-07T14:29:02.063000Z,0.608,176.42,3,0,1,17,1125,869
2026-03-08T05:05:03.417889Z,ec784aab-d88e-40df-a5ab-c6a26fc9c671,RECRUITER,AlleNupY,2026-02-25T22:57:44.934000Z,10.255,145.67,0,0,0,1,502,765
2026-03-08T05:05:03.417889Z,5e3c6983-b267-49be-b6f8-7eedb09fddb4,RECRUITER,Zytiv,2026-02-25T13:30:12.267000Z,10.649,112.25,2,0,0,0,390,527
2026-03-08T05:05:03.417889Z,4c0e0ac7-49e1-4590-b4d6-8fe2f1ca1e26,RECRUITER,Firetornado2312,2026-02-26T02:13:27.798000Z,10.119,49.33,1,0,0,1,219,321
2026-03-08T05:05:03.417889Z,d3abfd17-2a07-45b1-a5b0-9b76800b53f4,RECRUITER,S6kuna,2026-03-07T13:46:20.411000Z,0.638,85.92,0,0,0,3,301,555
